id,created_at,updated_at,deleted_at,nombre,codigo,precio_venta,stock
1,2025-08-23 20:57:39.836436 -0500 -05,2025-08-24 21:01:14.411263 -0500 -05,NULL,AMITRIPTILINA 25 MG X 300 TABL,7702195102387,37992.84,0
2,2025-08-23 20:57:39.843958 -0500 -05,2025-08-23 20:57:39.843958 -0500 -05,NULL,LEVOTIROXINA 50 MCG X 150 TABL ,7703153040611,36900.0,1
3,2025-08-23 20:57:39.851182 -0500 -05,2025-08-23 20:57:39.851182 -0500 -05,NULL,NEUROBION X 30 TABL (3) PRECIO ESPECIAL,7702418006249,157227.55,1
4,2025-08-23 20:57:39.857407 -0500 -05,2025-08-24 20:32:00.250767 -0500 -05,NULL,PREDNISOLONA 5 MG X 300 TABL,7703712035355,35481.43,0
5,2025-08-23 20:57:39.864445 -0500 -05,2025-08-24 21:01:14.388934 -0500 -05,NULL,WASSERTROL DEXAMETASONANEOMICINAPOLIMIXINA OFTALMICO X 5 ML,7703197053059,17835.0,2
6,2025-08-23 20:57:39.871155 -0500 -05,2025-08-24 20:32:00.26457 -0500 -05,NULL,LOTE: 2402 VENCE: 30/12/2026,LABQ2143,8298.0,1
7,2025-08-23 20:57:39.877976 -0500 -05,2025-08-23 20:57:39.877976 -0500 -05,NULL,LOTE: M00465 VENCE: 28/02/2027,COAS12097,8398.0,5
8,2025-08-23 20:57:39.885441 -0500 -05,2025-08-23 20:57:39.885441 -0500 -05,NULL,LOTE: 205324 VENCE: 30/05/2026,ANGL90638,29980.0,1
9,2025-08-23 20:57:39.892663 -0500 -05,2025-08-24 20:32:00.263663 -0500 -05,NULL,LOTE: 4030346 VENCE: 10/09/2026,SOPH32069,9790.0,1
10,2025-08-23 20:57:39.899726 -0500 -05,2025-08-23 20:57:39.899726 -0500 -05,NULL,LOTE: L3624 VENCE: 30/11/2026,LG-P2424,6678.0,4
11,2025-08-23 20:57:39.90699 -0500 -05,2025-08-23 20:57:39.90699 -0500 -05,NULL,LOTE: 0724 VENCE: 30/12/2026,ROCI1376,9398.0,3
12,2025-08-23 20:57:39.914735 -0500 -05,2025-08-23 20:57:39.914735 -0500 -05,NULL,LOTE: 24C264 /VENCE: 01/07/2026,LAFR21762,9598.0,8
13,2025-08-23 20:57:39.922195 -0500 -05,2025-08-23 20:57:39.922195 -0500 -05,NULL,LOTE: 1521289 VENCE: 30/06/2026,NOVA34029,3980.0,3
14,2025-08-23 20:57:39.929502 -0500 -05,2025-08-23 20:57:39.929502 -0500 -05,NULL,LOTE: 65624 VENCE: 30/10/2026,MEDI10010,5790.0,3
15,2025-08-23 20:57:39.936046 -0500 -05,2025-08-23 20:57:39.936046 -0500 -05,NULL,LOTE: 05625 VENCE: 30/01/2027,FARM10338,5790.0,3
16,2025-08-23 20:57:39.94305 -0500 -05,2025-08-23 20:57:39.94305 -0500 -05,NULL,LOTE: 10625 VENCE: 28/02/2027,EURO00081,5590.0,3
17,2025-08-23 20:57:39.949579 -0500 -05,2025-08-23 20:57:39.949579 -0500 -05,NULL,LOTE: 25A267 VENCE: 30/03/2027,LAFR01245,2740.0,12
18,2025-08-23 20:57:39.957272 -0500 -05,2025-08-23 20:57:39.957272 -0500 -05,NULL,LOTE: 241031 VENCE: 30/10/2026,BIGM01129,5498.0,2
19,2025-08-23 20:57:39.966775 -0500 -05,2025-08-23 20:57:39.966775 -0500 -05,NULL,LOTE: 24C952 VENCE: 30/08/2026,ABBO71502,43449.0,1
20,2025-08-23 20:57:39.97452 -0500 -05,2025-08-24 20:32:00.265893 -0500 -05,NULL,LOTE: 069/25 VENCE: 30/03/2027,SANL65628,8790.0,0
21,2025-08-23 20:57:39.981349 -0500 -05,2025-08-23 20:57:39.981349 -0500 -05,NULL,LOTE: 04561124 VENCE: 30/11/2026,LAFR00439,17980.0,2
22,2025-08-23 20:57:39.987949 -0500 -05,2025-08-23 20:57:39.987949 -0500 -05,NULL,GENOMMA X RAY DOL X 48 TAB,3016600729,53600.0,2
23,2025-08-23 20:57:39.9942 -0500 -05,2025-08-23 20:57:39.9942 -0500 -05,NULL,LS AMOXICILINA 500 MG X 50 CAP,3018700830,13091.41,2
24,2025-08-23 20:57:40.001848 -0500 -05,2025-08-24 21:01:14.399545 -0500 -05,NULL,TESTOVIRON DEPOT TESTOSTERONA 250 MG1 ML X 1 JERINGA PRELLENADA,7702123007456,57227.44,1
25,2025-08-23 20:57:40.008381 -0500 -05,2025-08-23 20:57:40.008381 -0500 -05,NULL,OLANZAPINA 5 MG X 30 TABL,7702057711542,53400.0,1
26,2025-08-23 20:57:40.015311 -0500 -05,2025-08-23 20:57:40.015311 -0500 -05,NULL,BOLSA PLASTICA BIODEGRADABLE,C0035,252.1,1
27,2025-08-23 20:57:40.022731 -0500 -05,2025-08-23 20:57:40.022731 -0500 -05,NULL,JABON AZUFRE *100G PILI -ALMIPRO,JORG2,3363.75,3
28,2025-08-23 20:57:40.029508 -0500 -05,2025-08-23 20:57:40.029508 -0500 -05,NULL,MIELTERTOS MENTHO LYPTUS PASTILLAS MAST CJA* 12*4 PAST,8517,23229.44,1
29,2025-08-23 20:57:40.035871 -0500 -05,2025-08-23 20:57:40.035871 -0500 -05,NULL,LOSARTAN 100MG *30 TAB MEMPHIS,5881,9177.57,2
30,2025-08-23 20:57:40.041941 -0500 -05,2025-08-23 20:57:40.041941 -0500 -05,NULL,DIPIRONA 500MG*100 TAB EXPOFARMA,3870,25637.18,2
31,2025-08-23 20:57:40.048749 -0500 -05,2025-08-24 21:01:14.411841 -0500 -05,NULL,AMLODIPINO 5MG C*300 TAB MULTIPACK LAPROFF,2551,30682.8,0
32,2025-08-23 20:57:40.054872 -0500 -05,2025-08-23 20:57:40.054872 -0500 -05,NULL,GASTRUM PLUS SABOR MENTA * 10 SACHETS,1211,11932.2,2
33,2025-08-23 20:57:40.061875 -0500 -05,2025-08-23 20:57:40.061875 -0500 -05,NULL,GASTROFULL DOBLE ACCION C*24 SACHETS MEDIBRAND,C1454,36281.84,1
34,2025-08-23 20:57:40.06926 -0500 -05,2025-08-23 20:57:40.06926 -0500 -05,NULL,TAMPON  DIGITAL OB  MEDIO * 8 TAMPONES,4750,6494.47,3
35,2025-08-23 20:57:40.075783 -0500 -05,2025-08-23 20:57:40.075783 -0500 -05,NULL,TAMPON  DIGITAL OB SUPER * 8 TAMPONES,4751,6494.06,3
36,2025-08-23 20:57:40.082215 -0500 -05,2025-08-23 20:57:40.082215 -0500 -05,NULL,BETADIP CREMA 0.05% * 40 GR PROFMA,6982,8868.75,4
37,2025-08-23 20:57:40.088656 -0500 -05,2025-08-23 20:57:40.088656 -0500 -05,NULL,ADVIL MAX 400 MG * 40 CAPS - HALEON,65591,81974.21,1
38,2025-08-23 20:57:40.095254 -0500 -05,2025-08-23 20:57:40.095254 -0500 -05,NULL,ADVIL ULTRA *40 CAPS BLANDAS  WYETH,6565,82157.17,1
39,2025-08-23 20:57:40.102639 -0500 -05,2025-08-23 20:57:40.102639 -0500 -05,NULL,PREDNISOLONA 5MG*300 TAB COASPHARMA,C3535,22643.91,2
40,2025-08-23 20:57:40.109764 -0500 -05,2025-08-23 20:57:40.109764 -0500 -05,NULL,IRBESARTAN 150 MG *30 TABS MK,0716244,17499.42,2
41,2025-08-23 20:57:40.116284 -0500 -05,2025-08-23 20:57:40.116284 -0500 -05,NULL,SUERO FISIOLOGICO 0.9% 100mL PE (CLORURO SODIO) CORPAUL,44,3430.0,4
