id,created_at,updated_at,deleted_at,nombre,codigo,precio_venta,stock
1,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,CREMA PIEL DE ARMINO FRASCO X 30 GR +JABON DE AZUFRE,7705887090030,0.0,0
2,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ABRILAR EA 575 JARABE x100mL ENGELHARD,4104480705151,0.0,0
3,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Almendras x 120,7709584074560,0.0,0
4,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Aguacate x 120,7709584074522,0.0,0
5,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,JABON PROTEX AVENA BARRA X 120 GR,7702010420252,0.0,0
6,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Coco x 120,7709990630015,0.0,0
7,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Caléndula x 120,7709837958135,0.0,0
8,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Romero x 120,7709292970543,0.0,0
9,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Rosa Mosqueta x 120,7709514635915,0.0,0
10,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACEITE J&J ORIGINAL FRASCO X 50 ML,7702031132844,0.0,0
11,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACEITE DE RICINO FRASCO X 25 ML,7707145300073,0.0,0
12,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Naranja x 120,7709837958111,0.0,0
13,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,Aceite Zanahoria x 120,7709837958180,0.0,0
14,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN 500 MG CAJA X 300 TABL,7703712035362,0.0,0
15,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN 500 MG X 300 TABL,7703038050018,0.0,0
16,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN 500mg x100 GENFAR,7702605100019,0.0,0
17,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFÉN JARABE 150mg / 5mL x90mL COASPHARMA S.A.S,7703712035454,0.0,0
18,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN+CAFEINA *100 TAB ADOREM PLUS,20104010007,0.0,0
19,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN JARABE FRASCO X 120 ML,7703038067269,0.0,0
20,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFÉN JARABE 150mg / 5mL x90mL AG,7706569001436,0.0,0
21,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFÉN JARABE 150mg / 5mL x90mL LAPROFF,7703038065630,0.0,0
22,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACETAMINOFEN+CAFEINA *100 TAB ADOREM PLUS 2+1 OBSEQUIO,201040100071,0.0,0
23,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACICLOVIR 200mg x25 COASPHARMA,7703712031951,0.0,0
24,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACICLOVIR 800mg x50 LAPROFF,7703038067511,0.0,0
25,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACID MANTLE BABY CREMA X 100 GR 30 GR PRECIO ESPECIAL,7702123014034,0.0,0
26,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACIDO BORICO SOBRE X 10 G,7707145300585,0.0,0
27,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,2025-08-30 11:53:02.5086257 -0500 -05 m=+17.294883201,NULL,ACIDO RETINOICO 0.05% CREMA POTE X 30 GR,7704190028914,0.0,0
