id,created_at,updated_at,deleted_at,factura_id,producto_id,cantidad,precio_unitario,precio_total,uuid,factura_uuid
1,2025-09-21 17:23:47.819669+00,2025-09-21 17:23:47.819669+00,,1,643,0,1300,0,06b6737d-62ca-442c-9866-e18a37e0c16a,b18a4e78-501d-40f8-93d4-e0d0f5caa908
2,2025-09-21 17:33:32.439771+00,2025-09-21 17:33:32.439771+00,,2,643,1,1300,1300,f93673e2-70c1-4d74-bcf2-dc8f7a986257,0bb7834d-8291-4c0b-b91a-dbf3af5f9b8a
3,2025-09-21 17:33:32.439771+00,2025-09-21 17:33:32.439771+00,,2,752,5,700,3500,443717bd-9735-409f-bab2-f5911dfa93bb,0bb7834d-8291-4c0b-b91a-dbf3af5f9b8a
4,2025-09-21 19:19:46.068112+00,2025-09-21 19:19:46.068112+00,,3,820,1,8500,8500,98b78ef9-c14c-454f-a9a6-af37d00f55ad,594039b6-1614-4654-abae-5a95def0b024
5,2025-09-21 19:20:09.418496+00,2025-09-21 19:20:09.418496+00,,4,563,1,32800,32800,23a75e56-a9ee-4e96-be95-4432f7e06030,438a0007-bdd2-4d02-93c9-bc00ed76f360
6,2025-09-24 17:57:54.457263+00,2025-09-24 17:57:54.457263+00,,5,715,1,12000,12000,d7c04133-ae0d-4206-b7a1-af950c52d826,921127a6-9eaa-4ef1-8c3f-64db4ff57a25
7,2025-09-24 17:57:54.457263+00,2025-09-24 17:57:54.457263+00,,5,362,1,2600,2600,b483fbb8-3809-4a70-a44a-20b9260d81e8,921127a6-9eaa-4ef1-8c3f-64db4ff57a25
8,2025-09-24 18:19:02.972919+00,2025-09-24 18:19:02.972919+00,,6,627,1,2200,2200,d2767104-3095-4f25-bf6c-39322a8da205,93bc8784-f3f7-4b9e-9df3-68c89cd2c88a
9,2025-09-24 18:29:01.95037+00,2025-09-24 18:29:01.95037+00,,7,395,1,5900,5900,1fbef49c-d262-4aec-97b6-30da70b257ca,886d290d-11ae-4b52-8700-402b4c11aa71
10,2025-09-24 18:47:26.774942+00,2025-09-24 18:47:26.774942+00,,8,814,2,1300,2600,b344a829-3ae3-4d47-8e83-3f4093348ea3,833f1b5f-64d6-456d-9564-b825ab3f4cce
11,2025-09-24 18:55:45.711909+00,2025-09-24 18:55:45.711909+00,,9,591,1,22500,22500,8cf84bda-62e8-48ae-b2cc-a8cccaa13d52,58f1b4ca-073b-408d-bd64-ae83dd7486b7
12,2025-09-24 18:55:45.711909+00,2025-09-24 18:55:45.711909+00,,9,749,1,850,850,71343981-bb1a-4431-a46a-444975698e3f,58f1b4ca-073b-408d-bd64-ae83dd7486b7
13,2025-09-24 19:08:05.025536+00,2025-09-24 19:08:05.025536+00,,10,194,1,9800,9800,e7bdb980-f23a-44a8-b6c0-5b058221a08f,713292c5-33ba-4b62-97da-ca9b2e8ee7f9
14,2025-09-24 19:12:35.519783+00,2025-09-24 19:12:35.519783+00,,11,527,1,14500,14500,c61d72f6-9c38-4e86-b903-5e823db67020,c44b51d5-2aff-4e2a-b365-1da7bb1a06c6
15,2025-09-24 19:18:34.960762+00,2025-09-24 19:18:34.960762+00,,12,720,1,1400,1400,b8c002dc-8b99-4407-864d-eaf3d50c5f87,be9ce333-f5cd-4c03-9e46-75a6546fda6e
16,2025-09-24 21:57:30.971012+00,2025-09-24 21:57:30.971012+00,,13,789,1,5000,5000,5b8ff834-10ea-4e8e-89fd-3121e5a04b92,20a68255-e500-46ee-bfb0-867055a384d8
17,2025-09-25 20:53:44.181681+00,2025-09-25 20:53:44.181681+00,,14,839,1,100,100,6543f3a2-13fc-4ddd-bff7-30f31a6c87a9,18a7acd0-cdd8-4cb2-a59b-3b59a0766b12
18,2025-09-25 21:10:08.07459+00,2025-09-25 21:10:08.07459+00,,15,689,1,18900,18900,c87bbaf2-e2fe-4499-b734-a015327f6fa6,c329c816-c2c0-4415-980d-747e8f171f0d
19,2025-09-25 21:16:20.611223+00,2025-09-25 21:16:20.611223+00,,16,836,11,1600,17600,c2bdad07-5297-4118-b46a-0f8e16102c5f,fb9a096c-9934-4439-926f-e9d9046a39bb
20,2025-09-25 21:21:45.659952+00,2025-09-25 21:21:45.659952+00,,17,656,2,900,1800,ca6a1e1b-d035-4b56-acd1-b8d9b0ddbf1b,aab8410b-97eb-422c-ba1d-52a9f38c296c
21,2025-09-25 21:24:21.570999+00,2025-09-25 21:24:21.570999+00,,18,592,9,500,4500,dcd081b0-23f1-4ef8-9ccc-0d365028fbdb,fd115a12-6733-47e1-b175-b6edfe0bbfe5
22,2025-09-25 21:25:19.703972+00,2025-09-25 21:25:19.703972+00,,19,308,1,16900,16900,1ada969b-6473-4719-ae0f-feca90c00378,76a3fe6d-8e5f-4997-8abb-444e16002445
