id,created_at,updated_at,deleted_at,numero_factura,fecha_emision,vendedor_id,cliente_id,subtotal,iva,total,estado,metodo_pago,uuid
1,2025-09-21 17:23:47.819025+00,2025-09-21 17:23:47.819025+00,,FAC-1000,2025-09-21 17:23:47.809512+00,1,1,0,0,0,Pagada,efectivo,b18a4e78-501d-40f8-93d4-e0d0f5caa908
2,2025-09-21 17:33:32.439771+00,2025-09-21 17:33:32.439771+00,,FAC-1001,2025-09-21 17:33:32.435454+00,1,1,4800,912,5712,Pagada,efectivo,0bb7834d-8291-4c0b-b91a-dbf3af5f9b8a
3,2025-09-21 19:19:46.068112+00,2025-09-21 19:19:46.068112+00,,FAC-1002,2025-09-21 19:19:46.062857+00,1,1,8500,1615,10115,Pagada,efectivo,594039b6-1614-4654-abae-5a95def0b024
4,2025-09-21 19:20:09.417645+00,2025-09-21 19:20:09.417645+00,,FAC-1003,2025-09-21 19:20:09.414332+00,1,1,32800,6232,39032,Pagada,efectivo,438a0007-bdd2-4d02-93c9-bc00ed76f360
5,2025-09-24 17:57:54.456715+00,2025-09-24 17:57:54.456715+00,,FAC-1004,2025-09-24 17:57:54.449049+00,1,1,14600,2774,17374,Pagada,efectivo,921127a6-9eaa-4ef1-8c3f-64db4ff57a25
6,2025-09-24 18:19:02.972903+00,2025-09-24 18:19:02.972903+00,,FAC-1005,2025-09-24 18:19:02.969829+00,1,1,2200,418,2618,Pagada,efectivo,93bc8784-f3f7-4b9e-9df3-68c89cd2c88a
7,2025-09-24 18:29:01.950006+00,2025-09-24 18:29:01.950006+00,,FAC-1006,2025-09-24 18:29:01.946253+00,1,1,5900,1121,7021,Pagada,efectivo,886d290d-11ae-4b52-8700-402b4c11aa71
8,2025-09-24 18:47:26.774314+00,2025-09-24 18:47:26.774314+00,,FAC-1007,2025-09-24 18:47:26.771122+00,1,1,2600,494,3094,Pagada,efectivo,833f1b5f-64d6-456d-9564-b825ab3f4cce
9,2025-09-24 18:55:45.711639+00,2025-09-24 18:55:45.711639+00,,FAC-1008,2025-09-24 18:55:45.707727+00,1,1,23350,4436.5,27786.5,Pagada,efectivo,58f1b4ca-073b-408d-bd64-ae83dd7486b7
10,2025-09-24 19:08:05.025018+00,2025-09-24 19:08:05.025018+00,,FAC-1009,2025-09-24 19:08:05.020489+00,1,1,9800,1862,11662,Pagada,efectivo,713292c5-33ba-4b62-97da-ca9b2e8ee7f9
11,2025-09-24 19:12:35.519232+00,2025-09-24 19:12:35.519232+00,,FAC-1010,2025-09-24 19:12:35.516362+00,1,1,14500,2755,17255,Pagada,efectivo,c44b51d5-2aff-4e2a-b365-1da7bb1a06c6
12,2025-09-24 19:18:34.960228+00,2025-09-24 19:18:34.960228+00,,FAC-1011,2025-09-24 19:18:34.956485+00,1,1,1400,266,1666,Pagada,efectivo,be9ce333-f5cd-4c03-9e46-75a6546fda6e
13,2025-09-24 21:57:30.971012+00,2025-09-24 21:57:30.971012+00,,FAC-1012,2025-09-24 21:57:30.962926+00,1,1,5000,950,5950,Pagada,efectivo,20a68255-e500-46ee-bfb0-867055a384d8
14,2025-09-25 20:53:44.181168+00,2025-09-25 20:53:44.181168+00,,FAC-1013,2025-09-25 20:53:44.17686+00,1,1,100,19,119,Pagada,efectivo,18a7acd0-cdd8-4cb2-a59b-3b59a0766b12
15,2025-09-25 21:10:08.074383+00,2025-09-25 21:10:08.074383+00,,FAC-1014,2025-09-25 21:10:08.071061+00,1,1,18900,3591,22491,Pagada,efectivo,c329c816-c2c0-4415-980d-747e8f171f0d
16,2025-09-25 21:16:20.610661+00,2025-09-25 21:16:20.610661+00,,FAC-1015,2025-09-25 21:16:20.607348+00,1,1,17600,3344,20944,Pagada,efectivo,fb9a096c-9934-4439-926f-e9d9046a39bb
17,2025-09-25 21:21:45.659391+00,2025-09-25 21:21:45.659391+00,,FAC-1016,2025-09-25 21:21:45.655569+00,1,1,1800,342,2142,Pagada,efectivo,aab8410b-97eb-422c-ba1d-52a9f38c296c
18,2025-09-25 21:24:21.570449+00,2025-09-25 21:24:21.570449+00,,FAC-1017,2025-09-25 21:24:21.567498+00,1,1,4500,855,5355,Pagada,efectivo,fd115a12-6733-47e1-b175-b6edfe0bbfe5
19,2025-09-25 21:25:19.702968+00,2025-09-25 21:25:19.702968+00,,FAC-1018,2025-09-25 21:25:19.70069+00,1,1,16900,3211,20111,Pagada,efectivo,76a3fe6d-8e5f-4997-8abb-444e16002445
20,2025-09-25 21:29:08.36337+00,2025-09-25 21:29:08.36337+00,,FAC-1019,2025-09-25 21:29:08.359262+00,1,1,33400,6346,39746,Pagada,efectivo,d32953e8-8911-4b75-836d-1e729dcea31f
21,2025-09-25 21:30:12.819382+00,2025-09-25 21:30:12.819382+00,,FAC-1020,2025-09-25 21:30:12.815289+00,1,1,2900,551,3451,Pagada,efectivo,9f642727-4468-4bf5-84f4-7f969335690a
22,2025-09-25 21:50:58.107659+00,2025-09-25 21:50:58.107659+00,,FAC-1021,2025-09-25 21:50:58.104419+00,1,1,2800,532,3332,Pagada,efectivo,91b4e2e9-0145-44ff-9b24-278434a18f89
23,2025-09-25 21:54:19.83643+00,2025-09-25 21:54:19.83643+00,,FAC-1022,2025-09-25 21:54:19.833069+00,1,1,18100,3439,21539,Pagada,efectivo,de163f07-6052-4a11-8cf4-500c1e9394da
24,2025-09-26 16:36:39.705892+00,2025-09-26 16:36:39.705892+00,,FAC-1023,2025-09-26 16:36:39.698413+00,1,1,2800,532,3332,Pagada,efectivo,ab3f92b9-3daf-4614-a4aa-e8d9ab0b7955
25,2025-09-26 16:37:00.986446+00,2025-09-26 16:37:00.986446+00,,FAC-1024,2025-09-26 16:37:00.984389+00,1,1,1000,190,1190,Pagada,efectivo,82205ff4-5e72-4dbb-ad68-b03395030416
26,2025-09-26 16:38:22.693487+00,2025-09-26 16:38:22.693487+00,,FAC-1025,2025-09-26 16:38:22.689518+00,1,1,28200,5358,33558,Pagada,efectivo,9470f005-e92d-44bd-878c-9737be4c9544
27,2025-09-26 16:38:53.035904+00,2025-09-26 16:38:53.035904+00,,FAC-1026,2025-09-26 16:38:53.032712+00,1,1,10500,1995,12495,Pagada,efectivo,787684a5-caf1-4bfe-a7e4-3460dd777945
28,2025-09-26 16:39:40.093576+00,2025-09-26 16:39:40.093576+00,,FAC-1027,2025-09-26 16:39:40.088375+00,1,1,2800,532,3332,Pagada,efectivo,c4d91b6a-ccd3-4cff-8415-8f1231fe57ad
29,2025-09-26 16:40:57.275918+00,2025-09-26 16:40:57.275918+00,,FAC-1028,2025-09-26 16:40:57.272724+00,1,1,2000,380,2380,Pagada,efectivo,810db8e1-7a3f-4ea7-a6e4-80146f17cce6
30,2025-09-26 16:43:39.236565+00,2025-09-26 16:43:39.236565+00,,FAC-1029,2025-09-26 16:43:39.233075+00,1,1,29500,5605,35105,Pagada,efectivo,33e3d58d-33cf-4b53-b563-802f75932231
31,2025-09-26 16:45:10.94012+00,2025-09-26 16:45:10.94012+00,,FAC-1030,2025-09-26 16:45:10.936463+00,1,1,4000,760,4760,Pagada,efectivo,39fd742f-75fb-4a00-83f3-2b0cdc546ef3
32,2025-09-26 16:45:59.356172+00,2025-09-26 16:45:59.356172+00,,FAC-1031,2025-09-26 16:45:59.352479+00,1,1,6300,1197,7497,Pagada,efectivo,baa324b4-47be-4e9d-b48f-aefb3c534521
33,2025-09-26 16:47:45.17311+00,2025-09-26 16:47:45.17311+00,,FAC-1032,2025-09-26 16:47:45.170072+00,1,1,4800,912,5712,Pagada,efectivo,5f10cd92-99d8-4224-a1a6-41b382c6c1b9
34,2025-09-26 16:54:23.285199+00,2025-09-26 16:54:23.285199+00,,FAC-1033,2025-09-26 16:54:23.280983+00,1,1,15200,2888,18088,Pagada,efectivo,d2f4a8f7-fe2e-464f-88df-ca0fc1369d29
35,2025-09-26 17:06:41.501624+00,2025-09-26 17:06:41.501624+00,,FAC-1034,2025-09-26 17:06:41.498354+00,1,1,4800,912,5712,Pagada,efectivo,ac3b74f0-ce91-4599-a304-6b55561789e3
36,2025-09-26 17:06:57.557782+00,2025-09-26 17:06:57.557782+00,,FAC-1035,2025-09-26 17:06:57.553743+00,1,1,3000,570,3570,Pagada,efectivo,84c5a5b7-82cd-44f2-aeb9-81a7021ecb4c
