id,uuid,producto_id,tipo_operacion,cantidad_cambio,stock_resultante,vendedor_id,factura_id,timestamp,sincronizado,factura_uuid
1,f1f05e52-6b59-4ede-a69e-f1396bcba057,623,AJUSTE,100,100,1,,2025-09-23 23:10:08.807446+00,false,
2,13971952-8d9f-42ca-8f7b-fe575b013580,646,AJUSTE,92,100,1,,2025-09-23 23:11:41.927714+00,false,
3,5faa6ca3-9d8a-4db9-9312-65322066a27e,685,AJUSTE,94,100,1,,2025-09-23 23:12:22.271329+00,false,
4,16bdca66-d625-4b49-967f-707542e15038,636,AJUSTE,100,100,1,,2025-09-23 23:14:06.497202+00,false,
5,f8660e2c-06e6-4f0a-9118-426060c12ab0,634,AJUSTE,100,100,1,,2025-09-23 23:14:43.934753+00,false,
6,a99bec31-3f7f-4a4f-89bc-437a1e801f4b,399,AJUSTE,76,100,1,,2025-09-23 23:15:34.156667+00,false,
7,1db55653-7be1-4de2-9af4-4e0f56b864af,627,AJUSTE,100,100,1,,2025-09-23 23:17:45.518583+00,false,
8,827ff133-7098-4b07-9bad-287ad57bf0f1,626,AJUSTE,100,100,1,,2025-09-23 23:17:54.368962+00,false,
9,03c1d8a9-e9e0-4c4a-8cf3-3c0eb31f6ae6,632,AJUSTE,100,100,1,,2025-09-23 23:18:06.820617+00,false,
10,2746e1b2-6959-4e18-a2e0-67c7820b6ba4,633,AJUSTE,100,100,1,,2025-09-23 23:18:21.635852+00,false,
11,2e681e34-2a05-47af-b446-d732d40e9819,635,AJUSTE,100,100,1,,2025-09-23 23:18:59.975215+00,false,
12,8f1bf6bf-c203-4cfa-afe2-d5b6ec6bee27,680,AJUSTE,84,100,1,,2025-09-23 23:19:15.26146+00,false,
13,3913d986-2fca-4c31-a9cb-d5e0570332f2,624,AJUSTE,100,100,1,,2025-09-23 23:19:44.130526+00,false,
14,0e26e0e3-71be-4866-a296-cf16b7f1398b,628,AJUSTE,100,100,1,,2025-09-23 23:21:11.56785+00,false,
15,72f2709a-5db6-4237-841e-69b53949a48e,629,AJUSTE,100,100,1,,2025-09-23 23:21:32.720477+00,false,
16,a56bafbc-24dc-4c4e-bfa9-42521562c7fa,630,AJUSTE,100,100,1,,2025-09-23 23:23:01.27798+00,false,
17,132230f8-a3ac-4535-abe7-6c4e1b146a8b,637,AJUSTE,100,100,1,,2025-09-23 23:23:20.863629+00,false,
18,d0a59e55-14ec-4d5b-8cd4-390bf0c0c2ba,642,AJUSTE,100,100,1,,2025-09-23 23:23:36.799332+00,false,
19,a510dc89-f3df-48fa-a6fc-73b2bbaeb6d9,622,AJUSTE,100,100,1,,2025-09-23 23:23:53.133115+00,false,
20,952e80d9-2d88-4cfd-9fd7-f7070fbdc0f1,625,AJUSTE,100,100,1,,2025-09-23 23:24:24.019657+00,false,
21,eca5ab7c-068b-436a-ba12-aabe63a1583f,641,AJUSTE,100,100,1,,2025-09-23 23:24:38.655291+00,false,
22,da0191c2-b640-4f82-aabe-44ed36c47336,678,AJUSTE,88,100,1,,2025-09-23 23:26:10.164193+00,false,
23,29f2161c-9454-4a47-b7c1-65a608b14ff9,679,AJUSTE,88,100,1,,2025-09-23 23:26:28.266994+00,false,
24,49c8cd37-5961-4326-accf-9d971e794c99,640,AJUSTE,100,100,1,,2025-09-23 23:28:58.996333+00,false,
25,39c8e368-ce3c-4851-b278-37b0ae94163b,655,AJUSTE,90,100,1,,2025-09-23 23:29:16.898267+00,false,
26,d49a176d-37ee-404c-b4c5-c0ef3560d449,658,AJUSTE,40,100,1,,2025-09-23 23:29:32.182992+00,false,
27,8e83d769-06b9-40b8-8ad9-19ffb1e80ec3,639,AJUSTE,100,100,1,,2025-09-23 23:33:47.174521+00,false,
28,dc1dcf56-ef34-4ad6-b7cb-07d5959c7895,638,AJUSTE,100,100,1,,2025-09-23 23:34:04.459544+00,false,
29,90350e99-d3f2-4339-b06d-b1f664b2b801,673,VENTA,-3,87,3,117,2025-09-27 17:01:28.207729+00,false,d6da0902-619f-4b42-b997-26bab6c92010
30,56f9e716-5ead-460d-ba8b-b6074f14ae76,672,VENTA,-1,99,1,178,2025-09-29 23:15:30.693433+00,false,fd731742-c193-491d-96b8-aadfef96d6d5
31,dba3579b-642c-4577-9476-0a6eb3ef783b,648,VENTA,-1,69,1,192,2025-09-30 00:06:12.709093+00,false,83f7fe9c-cbd5-4b27-a69a-8404abd39d49
32,c5acc9da-2d55-492a-81b9-39ec7f4850b2,835,VENTA,-6,90,1,203,2025-09-30 21:28:55.610293+00,false,62b15362-3ab0-4a2b-8de5-3fe517816c84
33,5ac23ceb-45e2-4472-9af6-6b2221e0f155,857,VENTA,-1,9999999,3,76,2025-09-26 22:40:26.265385+00,false,0331218c-7fb9-4633-8f0a-069df6e07c7f
34,78f96382-e47b-4f76-9dca-5ef3d4a1b8cb,878,INICIAL,100,100,1,,2025-09-27 02:05:25.170833+00,false,
35,514e645e-e294-462c-a65e-e8addf57f0b5,886,INICIAL,100000,100000,1,,2025-09-27 14:49:26.311159+00,false,
36,8da5a915-5520-481c-adf0-8d3a5184ea86,193,VENTA,-30,70,3,97,2025-09-27 15:07:16.011638+00,false,f1e8b40b-b297-4ea6-8e03-3cd2679a758b
37,b903fc9c-17cf-486b-a2e1-d6b9532eb04f,640,VENTA,-1,94,1,146,2025-09-29 18:19:16.575508+00,false,57383588-6d35-44a7-85b6-c78559653c13
38,49d97d7d-15d4-4e51-939e-a1267e31dfbb,88,VENTA,-1,99,1,194,2025-09-30 00:20:00.530571+00,false,f332b3ce-319a-4cf3-95a6-ec1a0a613416
39,c04eab7d-d453-4a96-8ddf-72f7a50566cf,431,VENTA,-4,92,1,202,2025-09-30 20:37:07.566023+00,false,948b16cf-49e3-448f-af3f-468f39cd0a69
40,40e70201-d2c7-4ffb-850f-70b6fd84ec39,62,VENTA,-2,97,3,104,2025-09-27 15:58:57.289206+00,false,a0424e72-4f29-4da3-a683-e6f2f1cbe83b
41,112c9503-3c9d-4cdc-ac6b-87f3c334dc0d,395,VENTA,-10,9986,3,110,2025-09-27 16:31:21.558133+00,false,21bb1591-7286-4636-9be8-15bd6c615806
42,6253010b-f620-4934-b7f2-30024fcb138a,886,VENTA,-1,99997,3,121,2025-09-27 17:15:53.923385+00,false,e0100e7c-62f4-4a5a-a3a8-c569e937fe6a
43,b6637fea-6c2e-4b43-bc91-1768f54ab625,55,VENTA,-1,98,3,144,2025-09-27 19:58:24.054256+00,false,29e1725d-5dec-4c9b-a95d-afdc9345d295
44,2ee40dca-f6ae-40ce-86b0-9b7d6ad2b932,855,VENTA,-1,996,1,158,2025-09-29 20:38:45.075533+00,false,703ce870-7cc5-4c44-a45a-c330e375f05b
45,8c8d30e0-2a58-4f0b-9bc0-4c98b6200c4a,667,VENTA,-2,38,3,227,2025-10-01 14:08:31.45912+00,false,9049db24-0945-4e89-b153-b64315d63f1a
46,c1c07807-8356-49ca-a897-075885eaf859,910,INICIAL,100,100,1,,2025-10-04 00:05:11.748872+00,false,
47,df9a1406-52b3-41b1-ae9c-2372f4d94842,872,INICIAL,100,100,1,,2025-09-27 01:54:42.250044+00,false,
48,5a57f632-138c-4569-ae75-92f529495a34,671,VENTA,-3,37,3,111,2025-09-27 16:32:25.198682+00,false,f889c088-2f08-42c6-8fcd-9c2b5144b642
49,2c70f6d4-9017-4e7a-b2b9-7345e36b545c,883,VENTA,-2,98,3,125,2025-09-27 17:36:15.480853+00,false,e9796014-e409-43dd-b40b-42d7a8ab7c8b
50,6afa2b49-fe86-4e5f-adad-eb64c9a05fbf,12,VENTA,-2,99918,1,177,2025-09-29 23:14:34.789939+00,false,10f52c2d-2a28-458c-866f-b685ab63679a
51,f5e7e711-46ae-4e9d-b34e-2ea1ac980d1e,592,VENTA,-1,89,1,198,2025-09-30 19:21:34.876694+00,false,4bcf4888-0c68-4146-b2f4-3314ae23af0d
52,337f31ae-2d93-43d0-8a32-0bf677d1d714,895,INICIAL,100,100,1,,2025-10-03 23:35:32.724495+00,false,
53,c327b767-09c0-4b1c-96a1-3163dc14ed75,809,VENTA,-1,99,3,88,2025-09-27 13:07:54.739278+00,false,b66b09f5-7d15-4102-9495-039818e698ea
54,af0b34c2-305b-41d6-b97d-00c7eb24c2f3,639,VENTA,-10,60,3,92,2025-09-27 14:30:07.48238+00,false,45588607-4270-424a-bb8e-b6f6a9e8cfbc
55,26b86313-92b3-4b20-8edc-d730dac1a167,682,VENTA,-1,22,3,107,2025-09-27 16:12:05.430522+00,false,01d21329-0133-4b70-b0f6-99560e4ca249
56,331b7812-adf7-4b5c-8bb3-5d7f3a28a57a,634,VENTA,-2,94,3,122,2025-09-27 17:19:47.15196+00,false,7d75aab6-923d-4b6f-8691-c97b6c9f9a78
57,ac31cb67-8c9b-45a1-9913-0f17ba65d014,628,VENTA,-1,95,3,215,2025-10-01 13:35:03.645416+00,false,35ea8c21-59e9-4177-ad3b-0cc54f44634f
58,3c6ed12c-ece5-4a3f-aa4b-41eaf52c69dd,40,VENTA,-1,99,3,100,2025-09-27 15:42:29.4813+00,false,b479569d-b0b8-40af-9175-96d5a904d1a9
59,23fdbca9-be21-4ce8-8812-120367376d2d,467,VENTA,-15,70,1,164,2025-09-29 21:40:10.74328+00,false,5bbc87ee-de07-4e51-b65b-467bb1ffdae1
60,335ce9f9-f5d3-4e4d-bcea-124053f43e89,639,VENTA,-10,20,3,219,2025-10-01 13:47:32.370323+00,false,e43b13e1-cc48-471f-a048-11e4f3b87f0e
61,7dd8afb7-a277-441f-9a62-99a677c61557,886,VENTA,-2,99989,3,226,2025-10-01 14:06:52.187706+00,false,75fa27d6-5392-4576-a468-409d2a289065
62,f1762ac7-ce92-4fe3-8340-506006f9a439,781,VENTA,-1,99,1,229,2025-10-01 18:31:47.693147+00,false,03a4510d-a82c-4989-8327-0ba218d0b8cc
63,7794a95e-17d6-4e5d-be8e-1e07ba50efdf,883,INICIAL,100,100,1,,2025-09-27 02:11:40.330962+00,false,
64,d4b6457b-7b5d-4f32-a8a6-a36ad895339b,809,VENTA,-1,98,3,93,2025-09-27 14:42:22.920966+00,false,f9e200e4-6829-4d4a-85a3-0f2acc645a47
65,a0404b05-cddd-4d9b-b12a-e1b4c7fc52e7,630,VENTA,-5,82,3,131,2025-09-27 18:05:42.53823+00,false,3f1b62e1-8e85-4cdc-bfc0-579ce762b91c
66,c1e6f2ac-aa77-4ccc-abcc-7158c236b8f6,848,VENTA,-6,91,3,139,2025-09-27 19:16:29.380659+00,false,ff8813ba-cb10-45c7-8c95-8892f1a13664
67,bb9216a2-ccf3-46fe-bd99-cc54b9a4df8b,12,VENTA,-2,99913,1,198,2025-09-30 19:21:34.877684+00,false,4bcf4888-0c68-4146-b2f4-3314ae23af0d
68,71303a37-8d5e-4887-a62e-ba49081e7b85,213,VENTA,-1,99,3,86,2025-09-27 01:13:48.015726+00,false,a9e7fa20-05ac-4927-a682-93b02180f166
69,9a0f7eea-1c5e-4eb3-9ff8-513744ee16d7,874,INICIAL,100,100,1,,2025-09-27 02:00:57.618729+00,false,
70,79fd1560-02e1-4da1-b11d-0f68588e3b86,648,VENTA,-10,70,3,108,2025-09-27 16:17:02.662241+00,false,65705f03-d57a-4cda-b5f1-0618d7908aaa
71,2758e829-a991-43d0-81ac-0c5a1863555b,464,VENTA,-1,95,3,135,2025-09-27 18:23:48.402873+00,false,217bfbed-c599-4707-9cd9-39b89fad6750
72,8b9f5325-11cc-4a3d-8c05-53c78f0fee3b,375,VENTA,-6,63,1,157,2025-09-29 20:35:17.047594+00,false,8c8ef8b2-ebce-4762-8e15-37e3db61b1fb
73,4971ea9f-4a36-4b2c-8403-48b03d43b7a7,415,VENTA,-1,99,1,230,2025-10-01 18:52:35.421772+00,false,43b20b3c-13ab-4000-8192-4a4df6db0334
74,85f735e0-d28d-46fd-ab0a-34909a77c37d,902,INICIAL,100,100,1,,2025-10-03 23:54:53.796607+00,false,
75,55728e67-fa29-4cd2-803b-c55487819ada,395,AJUSTE,9901,10000,1,,2025-09-27 13:11:10.979099+00,false,
76,9721b8f3-f453-4b2c-9fed-56f5d3b9632a,459,VENTA,-10,90,3,93,2025-09-27 14:42:22.914963+00,false,f9e200e4-6829-4d4a-85a3-0f2acc645a47
77,1dff561a-f0cd-4e7e-92e5-050b7a8e4f59,761,VENTA,-1,99,3,100,2025-09-27 15:42:29.481817+00,false,b479569d-b0b8-40af-9175-96d5a904d1a9
78,b1575d54-061e-4cbb-bc4f-9f09ac9df26a,592,VENTA,-1,90,1,166,2025-09-29 21:48:43.551996+00,false,bd07b7d9-86e2-4665-8e6c-b71e161cc942
79,fcf9ffd6-9fd9-41a8-b21b-e982204adf28,667,VENTA,-6,48,1,170,2025-09-29 22:38:17.592715+00,false,8becc418-b0ab-4893-9dc1-f29d114fb93e
80,935bda8c-d616-47eb-bbdb-083e43d339ff,667,VENTA,-4,44,1,204,2025-09-30 21:57:13.944408+00,false,41f47085-31c3-4249-8f32-05e38161cae7
81,a7c32aab-fd33-4ed7-90e9-cba6c62cd1aa,891,INICIAL,100,100,1,,2025-10-01 13:08:02.118074+00,false,
82,982f89b5-cb49-4bb4-bed9-99f62814c4fa,12,VENTA,-10,50,3,74,2025-09-26 22:23:38.700919+00,false,58d60e99-e6e0-4efa-9ef3-0e5335bda9a1
83,2bdc6408-d6e3-4753-b30c-ebcf55dfe8a1,12,VENTA,-10,20,3,93,2025-09-27 14:42:22.920495+00,false,f9e200e4-6829-4d4a-85a3-0f2acc645a47
84,04d5a69f-2e1c-4a36-ab32-17de486abe18,167,VENTA,-20,80,3,100,2025-09-27 15:42:29.4813+00,false,b479569d-b0b8-40af-9175-96d5a904d1a9
85,b5080b12-fedc-49c6-8bb5-39eb17659e9d,448,VENTA,-3,97,3,129,2025-09-27 17:53:01.353578+00,false,ac639bc5-bcc8-4a15-8436-2052cc63c305
86,223a52ac-673d-4942-bec1-e8523ec70c33,641,VENTA,-2,98,3,137,2025-09-27 18:49:10.579883+00,false,f2d583f2-8e81-4d6f-a9c1-082d567fa9b7
87,7ab43ec9-5350-463b-8360-e7fd90748491,649,VENTA,-8,92,1,183,2025-09-29 23:28:32.738611+00,false,c66d5b1b-5b31-4586-b114-bd02a7bf6c88
88,6e108ed7-6ba1-4b4f-a8e4-3508cb143fd0,640,VENTA,-2,88,1,203,2025-09-30 21:28:55.613872+00,false,62b15362-3ab0-4a2b-8de5-3fe517816c84
89,fbc447a1-36b3-4f82-b1e5-77a69b9c68ee,810,VENTA,-1,99,3,122,2025-09-27 17:19:47.155561+00,false,7d75aab6-923d-4b6f-8691-c97b6c9f9a78
90,10d24a73-9d5a-460e-b334-0f0be60e95b2,641,VENTA,-2,96,3,143,2025-09-27 19:54:13.870106+00,false,826d0fb0-e4b4-4dbb-bbbc-e1cb65352179
91,9dd7dad1-4711-406e-bffa-170de539c300,448,VENTA,-1,96,1,172,2025-09-29 22:55:06.136503+00,false,d5558667-ea8b-4a54-857d-e9c630651427
92,6c60587c-e279-44b8-82f7-ce408a0e7bc9,231,VENTA,-3,9990,1,174,2025-09-29 23:09:01.911008+00,false,93f53739-59d6-44a8-be7e-86b69c4753ba
93,8caa0957-9949-4f3e-8310-174d366e9c90,590,VENTA,-1,86,1,198,2025-09-30 19:21:34.87743+00,false,4bcf4888-0c68-4146-b2f4-3314ae23af0d
94,84f3a070-bed0-454b-9c8a-b9b53294825c,652,VENTA,-5,93,1,203,2025-09-30 21:28:55.614412+00,false,62b15362-3ab0-4a2b-8de5-3fe517816c84
95,fa4d6c02-ffb3-421d-a37a-d70b24bf3e5d,443,VENTA,-1,99,3,220,2025-10-01 13:51:01.546827+00,false,78a88422-ca5f-43ca-9dc6-ae955b96c12d
96,23ca0a73-6072-4937-bc93-ec88524db91d,868,INICIAL,100,100,1,,2025-09-27 01:49:14.755903+00,false,
97,ba708c72-449a-4ff9-a711-621d7920b8b4,670,VENTA,-10,289,3,114,2025-09-27 16:54:29.375677+00,false,c20f9fde-4bf4-4274-9e67-63aa717cea9e
98,e0a43dc3-b4b3-4cf4-83fc-268c58f0576f,617,VENTA,-3,95,3,136,2025-09-27 18:33:31.515067+00,false,6ae3ae66-8f66-468a-9aa6-55a3c1b4f8e0
99,969e1918-e1ed-4f92-a440-fb769175bdc9,11,VENTA,-1,86,3,206,2025-10-01 12:50:03.732464+00,false,9336a5f8-2433-4748-89c1-79f90aea38f0
100,b3acc197-cdb6-49e1-8f52-b14f8f35e3fe,670,VENTA,-10,259,3,207,2025-10-01 12:59:42.328515+00,false,4d99adde-f2ac-4e50-a7a0-056b2fe89738
101,7dc87bbe-5399-4f5b-950e-2cc477682b75,710,VENTA,-1,99,3,222,2025-10-01 13:55:21.130158+00,false,35e81a31-c9c7-41b8-8913-41b01b643ad7
102,31f3d656-54bb-40dc-baf1-50cf0be53a08,630,VENTA,-2,95,3,84,2025-09-26 23:04:12.737743+00,false,10ee7379-8a81-44a1-a41b-f9e3433cf480
103,746df52e-b1e5-4499-9c44-43dea8cc6cfc,504,VENTA,-2,9997,3,106,2025-09-27 16:09:01.521194+00,false,e7664bd2-30ad-446e-aadb-2aa23ef74713
104,3bee8d8a-18b0-4d6d-9620-6da6e8b70f15,662,VENTA,-1,99,3,124,2025-09-27 17:27:24.98007+00,false,ba0d4e8c-395c-437e-99de-a3cc48b003d2
105,25ebd3ce-6a27-4c73-93a4-932a92c2dc1d,768,VENTA,-1,99,3,130,2025-09-27 17:59:23.590262+00,false,411b579c-4441-4103-b7d1-a4ab71e4f05f
106,43cabe13-62e2-4300-ac77-10e63d259b8e,836,VENTA,-2,83,3,145,2025-09-27 20:06:46.062421+00,false,4aee5fad-4f74-408e-a363-b5a11606a109
107,b7e1b849-91fa-4efc-942e-2470d6555b8d,11,VENTA,-2,97,1,162,2025-09-29 21:37:55.525408+00,false,c698dcc1-55f7-4772-990b-55f64e15d442
108,18672f1e-be54-49eb-8715-d906d4560083,638,VENTA,-10,90,3,217,2025-10-01 13:42:45.110341+00,false,
109,20676fc9-6a97-4959-9669-18208b11b6e6,229,VENTA,-1,99,3,79,2025-09-26 22:50:10.29717+00,false,f86e7849-cf5d-4ac3-a97c-b513f8b9294a
110,d2439da9-8dcd-4b5d-9013-7b20ce998d0f,862,VENTA,-1,99,3,85,2025-09-27 01:09:36.632373+00,false,6cc2b144-3e49-4918-ad41-a6cc352931f0
111,620bbf28-1c83-48a0-bec6-760854c93050,375,VENTA,-10,80,3,93,2025-09-27 14:42:22.921061+00,false,f9e200e4-6829-4d4a-85a3-0f2acc645a47
112,a42c9683-bcb1-4583-8d48-0576194b3da1,628,VENTA,-1,99,1,146,2025-09-29 18:19:16.578659+00,false,57383588-6d35-44a7-85b6-c78559653c13
113,bf51b63b-c38d-4e82-83cf-d9845475eb8d,683,VENTA,-1,23,1,170,2025-09-29 22:38:17.597196+00,false,8becc418-b0ab-4893-9dc1-f29d114fb93e
114,8b48d4a7-8db6-44e4-b857-25dc2fb7d022,835,VENTA,-1,96,1,176,2025-09-29 23:12:50.953065+00,false,ea1d9e08-85c2-4615-9ba1-d2635370fe51
115,2ece9fac-ee2d-484d-ae7d-32aadafdf3e3,652,VENTA,-2,98,1,184,2025-09-29 23:36:33.715796+00,false,adf2219b-e839-41ab-8c41-5666193a1fed
116,4329df9a-ce50-49ad-a436-e188b74dcebe,231,VENTA,-1,9989,1,203,2025-09-30 21:28:55.610293+00,false,62b15362-3ab0-4a2b-8de5-3fe517816c84
117,26973482-c0fe-4658-8b19-12df64342cb5,869,INICIAL,100,100,1,,2025-09-27 01:50:11.914319+00,false,
118,39c9a706-b02a-4a48-bb52-19a591a54a24,12,VENTA,-20,30,3,87,2025-09-27 13:04:56.591892+00,false,66e0a308-707e-4a41-9563-c93d0ee2df29
