id,created_at,updated_at,deleted_at,nombre,codigo,precio_venta,stock,uuid
1,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:29.832279+00,,Aceite Aguacate x 120,7709584074522,5000,200,8d51e4a3-dbb6-494b-8934-4bc03c75abee
2,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:34.580452+00,,Aceite Almendras x 120,7709584074560,0,200,4fb09825-d20d-4e0c-9732-f6482d3e241c
3,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:32.250078+00,,Aceite Caléndula x 120,7709837958135,0,200,0d576b4c-7089-4749-843a-ce128577b3c1
4,2025-09-06 05:00:36.143823+00,2025-10-11 20:39:08.497316+00,,Aceite Coco x 120,7709990630015,0,200,3db4450d-7141-4393-92da-93bca760e843
5,2025-09-06 05:00:36.143823+00,2025-10-11 20:36:48.483418+00,,ACEITE DE RICINO FRASCO X 25 ML,7707145300073,0,199,8c7973ea-cae3-46c4-9255-a596c4b81f00
6,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:00.123197+00,,ACEITE JOHNSONS BABY ORIGINAL FRASCO X 50 ML,7702031132844,8900,100,6c3dd19f-19f4-4f8a-bdfa-cfc1e1de2a11
7,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:09.31151+00,,Aceite Naranja x 120,7709837958111,0,100,9d1a149b-4b0f-4f57-8739-8821146a62b2
8,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:54.731793+00,,Aceite Romero x 120,7709292970543,0,100,f117bf60-33cc-4426-aa3a-4fc57bc18b8c
9,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:14.972243+00,,Aceite Rosa Mosqueta x 120,7709514635915,0,100,ab4f1862-5ae6-4f26-bcc0-aabe5bc5ea78
10,2025-09-06 05:00:36.143823+00,2025-10-11 20:36:42.667744+00,,Aceite Zanahoria x 120,7709837958180,0,100,f5f035ae-32a2-4e50-8a2a-b7bdbde7f4c6
11,2025-09-06 05:00:36.143823+00,2025-10-11 20:39:23.187919+00,,ACETAMINOFEN 500 MG TABLETAS,7703712035362,0,76,e488eaeb-fcac-4806-bfc7-02c2b676a599
12,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:21.413474+00,,ACETAMINOFEN 500 MG TABLETAS LAPROFF,7703038050018,150,51,320b2562-dd90-4a94-aaab-df1a2366f9e7
13,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:00.892051+00,,ACETAMINOFEN 500mg TABLETAS GENFAR,7702605100019,150,95,8fba25de-f347-49a5-b907-d25be9b230e0
14,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:49.413589+00,,ACETAMINOFÉN JARABE 150mg / 5mL x90mL AG,7706569001436,3900,100,660f5f81-0829-476d-8290-62cf752f0e97
15,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:06.860216+00,,ACETAMINOFÉN JARABE 150mg / 5mL x90mL COASPHARMA S.A.S,7703712035454,4200,100,2612c780-5b64-468b-8f06-24c8aaa3aede
16,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:32.435532+00,,ACETAMINOFÉN JARABE 150mg / 5mL x90mL LAPROFF,7703038065630,4200,200,ce2c42e7-0781-423a-937f-442dc7165942
17,2025-09-06 05:00:36.143823+00,2025-10-11 20:39:19.82226+00,,ACETAMINOFEN JARABE FRASCO X 120 ML,7703038067269,0,200,4880b4ff-008d-4949-beec-7357d353c1a1
18,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:13.745305+00,,"ADOREM PLUS (ACETAMINOFEN+CAFEINA) TABLETAS ",20104010007,0,200,b6463003-9c34-4c8e-9b39-61879d9662b5
19,2025-09-06 05:00:36.143823+00,2025-09-06 05:00:36.143823+00,2025-09-23 22:53:48.303447+00,ACETAMINOFEN+CAFEINA *100 TAB ADOREM PLUS 2+1 OBSEQUIO,201040100071,0,100,da98ec35-f7ed-473b-aa60-255a1a4bc296
20,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:43.424854+00,,ACICLOVIR 200mg TABLETAS COASPHARMA,7703712031951,0,200,30ebf211-a068-44bb-b476-135810c7aaaa
21,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:49.536464+00,,ACICLOVIR 800mg TABLETAS LAPROFF,7703038067511,0,95,fc354c87-a5e9-4603-acaa-58475983726c
22,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:39.74994+00,,ACID MANTLE BABY CREMA X 100 GR 30 GR PRECIO ESPECIAL,7702123014034,0,200,87ee8b53-0189-48af-8685-83acad4ffec0
23,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:57.795708+00,,ACIDO BORICO SOBRE X 10 G,7707145300585,0,200,73cf0b9c-a3f0-4989-b066-b0879588b278
24,2025-09-06 05:00:36.143823+00,2025-10-11 20:36:41.744211+00,,ACIDO RETINOICO 0.05% CREMA POTE X 30 GR,7704190028914,0,200,1fdc860c-6584-42ea-ace1-fd232b7be372
25,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:39.596755+00,,ACIDO RETINOICO 0.05% LOCION FRASCO X 60 ML QUIFARMA,7704190028921,25900,200,7e87a797-ad4a-44bc-8399-c7fb896cdc6f
26,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:26.59372+00,,ACTIVA 21 X21 TAB (LEVONORGESTREL+ETINILESTRADIOL) FAES FARMA,7707274721053,7800,99,dc54c3a8-9a0e-411c-9b68-f59c284fa9c5
27,2025-09-06 05:00:36.143823+00,2025-10-11 20:38:53.357236+00,,ACTIVIT B COMPLEJO B(ZINC+ACIDO FOLICO+VITAMINA D3) x30 CAP NOVOFARLAB,7709225183033,18900,200,f1221c32-94a9-4bee-9e74-0a566a4c76bd
28,2025-09-06 05:00:36.143823+00,2025-10-11 20:36:55.378266+00,,ADOREM 500MG TABLETAS,7707355052038,0,200,e9bbc138-22dd-479d-b028-a81c926d0af7
29,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:23.097479+00,,ADOREM 7+ NIÑOS JBE 150 MG/5ML FC* 120 ML SIEGFRIED,20104010004,0,200,0cddb233-9eb5-4065-9e85-855737a43cdb
30,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:06.401233+00,,ADOREM GRIPA TABLETAS SIEGFRIED,20104010039,0,200,a0a9f72a-d9d8-4e94-a146-65f9fcd6ca67
31,2025-09-06 05:00:36.143823+00,2025-10-11 20:37:01.961114+00,,ADVIL 200MG TABLETAS,7702132510510,0,100,4bafe1d7-aac0-4aea-8cc9-a44c79d50e19
